source,discovered_urls,new_urls,sitemap_docs,robots_status,elapsed_seconds,status,targets,fetched,not_modified,verified_recipes,conflicts,missing,errors,http_403,http_429,dom_structure_changes,schema_structure_changes,legacy_backfill_targets,legacy_backfill_resolved,crawl_robots_status,crawl_elapsed_seconds
allrecipes.com,1122,1122,6,ok,2.69,ok,99.0,99.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,75.89
foodnetwork.com,0,0,1,unavailable:HTTPError,0.61,ok,,,,,,,,,,,,,,,
delish.com,180,180,11,ok,3.42,ok,,,,,,,,,,,,,,,
eatingwell.com,225,225,4,ok,1.04,ok,,,,,,,,,,,,,,,
tasteofhome.com,550,550,49,ok,41.52,ok,,,,,,,,,,,,,,,
skinnytaste.com,185,97,7,ok,3.42,ok,,,,,,,,,,,,,,,
therecipecritic.com,229,157,7,ok,16.17,ok,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,0.48
spendwithpennies.com,208,127,7,ok,1.79,ok,,,,,,,,,,,,,,,
pinchofyum.com,30,27,7,ok,1.66,ok,,,,,,,,,,,,,,,
budgetbytes.com,76,50,7,ok,16.4,ok,,,,,,,,,,,,,,,
simplyrecipes.com,74,74,3,ok,0.86,ok,,,,,,,,,,,,,,,
wellplated.com,171,106,5,ok,1.21,ok,,,,,,,,,,,,,,,
natashaskitchen.com,12,12,12,ok,2.2,ok,,,,,,,,,,,,,,,
downshiftology.com,11,9,9,ok,1.38,ok,,,,,,,,,,,,,,,
gimmesomeoven.com,0,0,1,ok,4.03,ok,,,,,,,,,,,,,,,
lecremedelacrumb.com,101,101,5,ok,4.68,ok,,,,,,,,,,,,,,,
therealfooddietitians.com,85,59,5,ok,9.1,ok,,,,,,,,,,,,,,,
loveandlemons.com,0,0,6,ok,1.13,ok,,,,,,,,,,,,,,,
thepioneerwoman.com,83,83,8,ok,2.05,ok,,,,,,,,,,,,,,,
cookingclassy.com,41,41,10,ok,7.5,ok,,,,,,,,,,,,,,,
iheartnaptime.net,49,49,10,ok,7.42,ok,,,,,,,,,,,,,,,
feelgoodfoodie.net,0,0,7,ok,1.08,ok,,,,,,,,,,,,,,,
kristineskitchenblog.com,56,56,4,ok,3.34,ok,,,,,,,,,,,,,,,
jocooks.com,0,0,1,ok,0.68,ok,,,,,,,,,,,,,,,
recipetineats.com,54,31,9,ok,2.51,ok,,,,,,,,,,,,,,,
bbcgoodfood.com,101,101,120,ok,79.3,ok,,,,,,,,,,,,,,,
seriouseats.com,34,34,3,ok,0.93,ok,,,,,,,,,,,,,,,
thekitchn.com,0,0,2,ok,0.42,ok,,,,,,,,,,,,,,,
foodandwine.com,57,57,4,ok,1.38,ok,,,,,,,,,,,,,,,
ambitiouskitchen.com,11,11,120,ok,15.76,ok,,,,,,,,,,,,,,,
eatingbirdfood.com,22,22,5,ok,1.05,ok,,,,,,,,,,,,,,,
wholesomeyum.com,20,20,11,ok,11.18,ok,,,,,,,,,,,,,,,
dinneratthezoo.com,61,61,5,ok,4.84,ok,,,,,,,,,,,,,,,
diethood.com,77,77,6,ok,15.0,ok,,,,,,,,,,,,,,,
twopeasandtheirpod.com,22,22,6,ok,7.46,ok,,,,,,,,,,,,,,,
platedcravings.com,7,7,4,ok,0.68,ok,,,,,,,,,,,,,,,
rachelcooks.com,69,69,7,ok,10.32,ok,,,,,,,,,,,,,,,
melskitchencafe.com,55,55,6,ok,5.89,ok,,,,,,,,,,,,,,,
