max_source_bias,evidence_penalty_scale,volume_prior_multiplier,uncertainty_cap,spearman_top200,kendall_top100,top10_overlap,top50_overlap
0.1,0.1,0.8,0.2,0.7607331965441423,0.6298989898989898,0.7,0.82
0.1,0.1,0.8,0.3,0.767198044097776,0.637979797979798,0.7,0.8
0.1,0.1,1.2,0.2,0.807694441062094,0.6331313131313131,0.7,0.76
0.1,0.1,1.2,0.3,0.8088019396224657,0.6206060606060606,0.7,0.76
0.1,0.2,0.8,0.2,0.7607331965441423,0.6298989898989898,0.7,0.82
0.1,0.2,0.8,0.3,0.767198044097776,0.637979797979798,0.7,0.8
0.1,0.2,1.2,0.2,0.807694441062094,0.6331313131313131,0.7,0.76
0.1,0.2,1.2,0.3,0.8088019396224657,0.6206060606060606,0.7,0.76
0.1,0.3,0.8,0.2,0.7607331965441423,0.6298989898989898,0.7,0.82
0.1,0.3,0.8,0.3,0.767198044097776,0.637979797979798,0.7,0.8
0.1,0.3,1.2,0.2,0.807694441062094,0.6331313131313131,0.7,0.76
0.1,0.3,1.2,0.3,0.8088019396224657,0.6206060606060606,0.7,0.76
0.15,0.1,0.8,0.2,0.9759079703934636,0.8189898989898989,1.0,0.92
0.15,0.1,0.8,0.3,0.9834034199789085,0.8973737373737374,0.8,0.96
0.15,0.1,1.2,0.2,0.9899314161491969,0.8824242424242424,1.0,0.94
0.15,0.1,1.2,0.3,0.9881538222659364,0.8921212121212121,0.8,0.94
0.15,0.2,0.8,0.2,0.9759079703934636,0.8189898989898989,1.0,0.92
0.15,0.2,0.8,0.3,0.9834034199789085,0.8973737373737374,0.8,0.96
0.15,0.2,1.2,0.2,0.9899314161491969,0.8824242424242424,1.0,0.94
0.15,0.2,1.2,0.3,0.9881538222659364,0.8921212121212121,0.8,0.94
0.15,0.3,0.8,0.2,0.9759079703934636,0.8189898989898989,1.0,0.92
0.15,0.3,0.8,0.3,0.9834034199789085,0.8973737373737374,0.8,0.96
0.15,0.3,1.2,0.2,0.9899314161491969,0.8824242424242424,1.0,0.94
0.15,0.3,1.2,0.3,0.9881538222659364,0.8921212121212121,0.8,0.94
0.2,0.1,0.8,0.2,0.5595360168884214,0.6921212121212121,1.0,0.82
0.2,0.1,0.8,0.3,0.5946610961994442,0.8347474747474748,0.8,0.96
0.2,0.1,1.2,0.2,0.7124890973313664,0.7660606060606061,1.0,0.88
0.2,0.1,1.2,0.3,0.7280054277519875,0.8537373737373737,0.8,0.94
0.2,0.2,0.8,0.2,0.5595360168884214,0.6921212121212121,1.0,0.82
0.2,0.2,0.8,0.3,0.5946610961994442,0.8347474747474748,0.8,0.96
0.2,0.2,1.2,0.2,0.7124890973313664,0.7660606060606061,1.0,0.88
0.2,0.2,1.2,0.3,0.7280054277519875,0.8537373737373737,0.8,0.94
0.2,0.3,0.8,0.2,0.5595360168884214,0.6921212121212121,1.0,0.82
0.2,0.3,0.8,0.3,0.5946610961994442,0.8347474747474748,0.8,0.96
0.2,0.3,1.2,0.2,0.7124890973313664,0.7660606060606061,1.0,0.88
0.2,0.3,1.2,0.3,0.7280054277519875,0.8537373737373737,0.8,0.94
